,sname,dname,cname,enroll12,numtsttakr,avgscrread,avgscreng,avgscrmath,avgscrsci,numge21,pctge21
186,Bullard High,Fresno Unified,Fresno,518,24,21.0,20.0,22.0,21.0,12.0,50.0
187,Burbank High,Burbank Unified,Los Angeles,586,94,25.0,25.0,25.0,24.0,76.0,80.85
189,Burlingame High,San Mateo Union High,San Mateo,401,131,27.0,27.0,27.0,26.0,110.0,83.97
191,Burroughs High,Sierra Sands Unified,Kern,331,15,27.0,26.0,27.0,26.0,14.0,93.33
192,Burroughs High,Burbank Unified,Los Angeles,584,81,26.0,26.0,24.0,24.0,63.0,77.78
193,Burton (Phillip and Sala) Academic High,San Francisco Unified,San Francisco,248,50,20.0,20.0,21.0,20.0,25.0,50.0
196,C. K. McClatchy High,Sacramento City Unified,Sacramento,504,74,27.0,25.0,23.0,24.0,57.0,77.03
197,Cabrillo High,Lompoc Unified,Santa Barbara,280,27,26.0,24.0,24.0,25.0,22.0,81.48
198,Cabrillo High,Long Beach Unified,Los Angeles,531,52,18.0,17.0,18.0,17.0,10.0,19.23
199,Cajon High,San Bernardino City Unified,San Bernardino,631,100,21.0,19.0,19.0,20.0,36.0,36.0
200,Calabasas High,Las Virgenes Unified,Los Angeles,524,182,27.0,28.0,25.0,25.0,155.0,85.16
201,Calaveras High,Calaveras Unified,Calaveras,189,19,25.0,22.0,24.0,23.0,16.0,84.21
204,Calexico High,Calexico Unified,Imperial,761,90,20.0,19.0,21.0,20.0,35.0,38.89
205,California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,164,65,26.0,27.0,27.0,25.0,58.0,89.23
210,California Connections Academy Southern California,Capistrano Unified,Orange,618,30,25.0,25.0,23.0,24.0,23.0,76.67
213,California High,San Ramon Valley Unified,Contra Costa,648,203,27.0,26.0,26.0,26.0,178.0,87.68
214,California High,Whittier Union High,Los Angeles,670,58,21.0,20.0,20.0,20.0,24.0,41.38
219,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl),Alameda,81,21,16.0,13.0,15.0,17.0,2.0,9.52
220,California School for the Deaf-Riverside,California School for the Deaf-Riverside (State Special Schl),Riverside,76,26,16.0,14.0,15.0,16.0,2.0,7.69
221,California School of the Arts - San Gabriel Valley,Duarte Unified,Los Angeles,90,27,27.0,27.0,24.0,24.0,21.0,77.78
234,Calipatria High,Calipatria Unified,Imperial,91,19,20.0,21.0,19.0,20.0,9.0,47.37
236,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,86,34,17.0,16.0,15.0,15.0,4.0,11.76
237,Camino Nuevo High #2,Los Angeles Unified,Los Angeles,112,82,16.0,15.0,16.0,15.0,3.0,3.66
239,Campolindo High,Acalanes Union High,Contra Costa,340,161,30.0,30.0,28.0,28.0,149.0,92.55
240,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227,32,19.0,18.0,18.0,18.0,9.0,28.13
241,Canyon Crest Academy,San Dieguito Union High,San Diego,635,409,30.0,31.0,30.0,29.0,392.0,95.84
242,Canyon High,Orange Unified,Orange,572,119,25.0,25.0,24.0,24.0,92.0,77.31
243,Canyon High,William S. Hart Union High,Los Angeles,536,65,23.0,23.0,22.0,22.0,39.0,60.0
244,Canyon Springs High,Moreno Valley Unified,Riverside,494,31,22.0,21.0,21.0,19.0,16.0,51.61
245,Capistrano Valley High,Capistrano Unified,Orange,521,151,26.0,27.0,26.0,25.0,129.0,85.43
247,Capuchino High,San Mateo Union High,San Mateo,275,52,20.0,20.0,20.0,20.0,21.0,40.38
248,Carlmont High,Sequoia Union High,San Mateo,522,173,27.0,26.0,27.0,26.0,142.0,82.08
249,Carlsbad High,Carlsbad Unified,San Diego,525,154,24.0,24.0,24.0,23.0,110.0,71.43
251,Carmel High,Carmel Unified,Monterey,207,121,26.0,26.0,25.0,25.0,93.0,76.86
252,Carpinteria Senior High,Carpinteria Unified,Santa Barbara,148,39,22.0,19.0,22.0,22.0,21.0,53.85
253,Carson Senior High,Los Angeles Unified,Los Angeles,334,26,20.0,20.0,20.0,19.0,11.0,42.31
256,Casa Grande High,Petaluma Joint Union High,Sonoma,425,55,24.0,24.0,24.0,23.0,40.0,72.73
257,Casa Roble Fundamental High,San Juan Unified,Sacramento,255,19,22.0,20.0,21.0,22.0,10.0,52.63
258,Castle Park Senior High,Sweetwater Union High,San Diego,447,23,21.0,20.0,21.0,20.0,9.0,39.13
261,Castro Valley High,Castro Valley Unified,Alameda,644,106,26.0,25.0,25.0,25.0,82.0,77.36
263,Cathedral City High,Palm Springs Unified,Riverside,390,31,21.0,20.0,19.0,20.0,11.0,35.48
265,Centennial High,Corona-Norco Unified,Riverside,786,163,21.0,21.0,22.0,21.0,84.0,51.53
266,Centennial High,Compton Unified,Los Angeles,214,153,14.0,13.0,15.0,15.0,4.0,2.61
267,Centennial High,Kern High,Kern,471,51,22.0,21.0,23.0,22.0,27.0,52.94
270,Central City Value,Los Angeles Unified,Los Angeles,105,15,21.0,21.0,19.0,20.0,8.0,53.33
272,Central High East Campus,Central Unified,Fresno,913,37,22.0,21.0,20.0,22.0,20.0,54.05
274,Central Union High,Central Union High,Imperial,403,56,21.0,20.0,21.0,21.0,26.0,46.43
278,Century High,Santa Ana Unified,Orange,417,39,19.0,18.0,18.0,18.0,11.0,28.21
279,Ceres High,Ceres Unified,Stanislaus,381,23,19.0,17.0,18.0,19.0,4.0,17.39
280,Cerritos High,ABC Unified,Los Angeles,509,93,27.0,28.0,28.0,26.0,83.0,89.25
281,Cesar Chavez High,Stockton Unified,San Joaquin,521,22,19.0,19.0,18.0,18.0,7.0,31.82
282,Cesar E. Chavez High,Delano Joint Union High,Kern,316,30,22.0,21.0,22.0,21.0,20.0,66.67
283,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Los Angeles Unified,Los Angeles,108,28,18.0,16.0,18.0,17.0,8.0,28.57
284,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87,39,17.0,16.0,17.0,17.0,7.0,17.95
288,Chaffey High,Chaffey Joint Union High,San Bernardino,782,31,21.0,20.0,20.0,20.0,14.0,45.16
289,CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles Unified,Los Angeles,182,52,22.0,22.0,18.0,20.0,24.0,46.15
290,Channel Islands High,Oxnard Union High,Ventura,611,74,19.0,18.0,18.0,18.0,17.0,22.97
291,Chaparral High,Temecula Valley Unified,Riverside,722,178,23.0,21.0,21.0,22.0,110.0,61.8
294,Charter Oak High,Charter Oak Unified,Los Angeles,364,38,22.0,21.0,22.0,22.0,25.0,65.79
296,Chatsworth Charter High,Los Angeles Unified,Los Angeles,448,19,21.0,20.0,21.0,20.0,10.0,52.63
301,Chico High,Chico Unified,Butte,475,46,25.0,23.0,24.0,24.0,32.0,69.57
302,Chino High,Chino Valley Unified,San Bernardino,432,16,22.0,21.0,20.0,22.0,8.0,50.0
303,Chino Hills High,Chino Valley Unified,San Bernardino,704,79,25.0,24.0,24.0,23.0,58.0,73.42
304,Chowchilla Union High,Chowchilla Union High,Madera,262,18,21.0,20.0,20.0,21.0,9.0,50.0
305,Christopher High,Gilroy Unified,Santa Clara,397,100,23.0,22.0,23.0,22.0,63.0,63.0
307,Chula Vista Senior High,Sweetwater Union High,San Diego,672,83,20.0,20.0,19.0,20.0,35.0,42.17
310,Citrus High (Continuation),Fontana Unified,San Bernardino,181,103,12.0,10.0,14.0,12.0,0.0,0.0
312,Citrus Valley High,Redlands Unified,San Bernardino,490,33,24.0,23.0,23.0,23.0,20.0,60.61
315,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,95,17,19.0,18.0,18.0,18.0,7.0,41.18
318,Clairemont High,San Diego Unified,San Diego,207,27,25.0,25.0,24.0,24.0,19.0,70.37
319,Claremont High,Claremont Unified,Los Angeles,591,139,25.0,24.0,24.0,24.0,103.0,74.1
321,Classical Academy High,Escondido Union High,San Diego,298,69,27.0,27.0,27.0,26.0,62.0,89.86
322,Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,482,130,25.0,24.0,23.0,24.0,95.0,73.08
325,Clovis East High,Clovis Unified,Fresno,584,55,22.0,21.0,22.0,23.0,31.0,56.36
326,Clovis High,Clovis Unified,Fresno,733,88,24.0,22.0,22.0,22.0,57.0,64.77
327,Clovis North High,Clovis Unified,Fresno,576,124,27.0,27.0,27.0,27.0,111.0,89.52
329,Clovis West High,Clovis Unified,Fresno,486,84,23.0,24.0,24.0,23.0,58.0,69.05
330,Coachella Valley High,Coachella Valley Unified,Riverside,607,88,18.0,16.0,19.0,18.0,18.0,20.45
335,Cobalt Institute of Math and Science Academy,Victor Valley Union High,San Bernardino,103,19,20.0,18.0,19.0,19.0,7.0,36.84
338,Colfax High,Placer Union High,Placer,125,31,24.0,22.0,22.0,22.0,20.0,64.52
342,College Park High,Mt. Diablo Unified,Contra Costa,443,70,25.0,24.0,24.0,23.0,53.0,75.71
344,Colony High,Chaffey Joint Union High,San Bernardino,539,55,20.0,20.0,20.0,20.0,22.0,40.0
345,Colton High,Colton Joint Unified,San Bernardino,445,71,18.0,17.0,19.0,18.0,14.0,19.72
350,Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,103,33,15.0,14.0,17.0,15.0,2.0,6.06
357,Compton Early College High,Compton Unified,Los Angeles,65,64,20.0,18.0,19.0,19.0,22.0,34.38
358,Compton High,Compton Unified,Los Angeles,354,274,15.0,13.0,16.0,15.0,14.0,5.11
359,Concord High,Mt. Diablo Unified,Contra Costa,369,24,25.0,24.0,24.0,23.0,21.0,87.5
365,Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,84,58,14.0,13.0,16.0,15.0,3.0,5.17
367,Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,90,40,16.0,14.0,16.0,15.0,3.0,7.5
368,Corcoran High,Corcoran Joint Unified,Kings,169,40,18.0,17.0,18.0,19.0,10.0,25.0
369,Cordova High,Folsom-Cordova Unified,Sacramento,386,23,23.0,23.0,22.0,21.0,14.0,60.87
373,Corning High,Corning Union High,Tehama,206,113,18.0,18.0,18.0,17.0,33.0,29.2
374,Corona del Mar High,Newport-Mesa Unified,Orange,458,300,27.0,28.0,26.0,26.0,265.0,88.33
375,Corona High,Corona-Norco Unified,Riverside,581,108,19.0,18.0,19.0,19.0,34.0,31.48
376,Coronado High,Coronado Unified,San Diego,291,128,26.0,25.0,25.0,25.0,100.0,78.13
378,Costa Mesa High,Newport-Mesa Unified,Orange,286,30,24.0,23.0,21.0,22.0,19.0,63.33
379,Cosumnes Oaks High,Elk Grove Unified,Sacramento,580,143,24.0,23.0,23.0,23.0,100.0,69.93
382,Crawford High,San Diego Unified,San Diego,218,37,19.0,18.0,18.0,19.0,11.0,29.73
385,Crenshaw Science Technology Engineering Math and Medicine Magnet,Los Angeles Unified,Los Angeles,216,33,16.0,14.0,16.0,15.0,3.0,9.09
389,Crescenta Valley High,Glendale Unified,Los Angeles,631,143,27.0,27.0,26.0,26.0,124.0,86.71
394,Culver City High,Culver City Unified,Los Angeles,526,147,24.0,24.0,22.0,23.0,94.0,63.95
396,Cupertino High,Fremont Union High,Santa Clara,625,209,29.0,30.0,30.0,29.0,200.0,95.69
398,Cypress High,Anaheim Union High,Orange,713,105,26.0,25.0,26.0,25.0,86.0,81.9
400,Da Vinci Communications,Wiseburn Unified,Los Angeles,94,44,17.0,16.0,17.0,17.0,5.0,11.36
401,Da Vinci Design,Wiseburn Unified,Los Angeles,164,33,19.0,20.0,18.0,18.0,10.0,30.3
403,Da Vinci Science,Wiseburn Unified,Los Angeles,159,43,25.0,24.0,22.0,23.0,28.0,65.12
404,Dana Hills High,Capistrano Unified,Orange,669,213,27.0,27.0,26.0,26.0,193.0,90.61
405,Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,71,23,24.0,24.0,22.0,22.0,14.0,60.87
406,David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,87,16,18.0,16.0,17.0,18.0,5.0,31.25
408,Davis Senior High,Davis Joint Unified,Yolo,569,144,28.0,28.0,28.0,27.0,135.0,93.75
409,De Anza High,West Contra Costa Unified,Contra Costa,332,55,20.0,19.0,18.0,19.0,19.0,34.55
411,Deer Valley High,Antioch Unified,Contra Costa,533,47,23.0,21.0,22.0,21.0,23.0,48.94
413,Del Campo High,San Juan Unified,Sacramento,371,36,22.0,22.0,21.0,20.0,18.0,50.0
414,Del Lago Academy - Campus of Applied Science,Escondido Union High,San Diego,178,65,22.0,21.0,21.0,22.0,37.0,56.92
415,Del Mar High,Campbell Union High,Santa Clara,290,67,21.0,20.0,19.0,21.0,29.0,43.28
417,Del Norte High,Poway Unified,San Diego,515,211,28.0,28.0,27.0,27.0,186.0,88.15
418,Del Oro High,Placer Union High,Placer,410,110,25.0,24.0,24.0,24.0,86.0,78.18
419,Delano High,Delano Joint Union High,Kern,339,110,18.0,17.0,19.0,18.0,28.0,25.45
420,Delhi High,Delhi Unified,Merced,167,68,18.0,17.0,17.0,18.0,15.0,22.06
428,Desert Hot Springs High,Palm Springs Unified,Riverside,417,46,17.0,16.0,16.0,18.0,3.0,6.52
431,Desert Mirage High,Coachella Valley Unified,Riverside,459,97,17.0,16.0,17.0,17.0,12.0,12.37
433,Design Science Middle College High,Fresno Unified,Fresno,63,58,21.0,20.0,21.0,20.0,23.0,39.66
434,Design Tech High,San Mateo Union High,San Mateo,120,33,29.0,29.0,26.0,28.0,29.0,87.88
435,Diamond Bar High,Walnut Valley Unified,Los Angeles,749,188,28.0,28.0,29.0,27.0,165.0,87.77
436,Diamond Ranch High,Pomona Unified,Los Angeles,377,82,23.0,22.0,21.0,22.0,47.0,57.32
442,Dinuba High,Dinuba Unified,Tulare,423,96,18.0,16.0,17.0,19.0,18.0,18.75
445,Dixon High,Dixon Unified,Solano,246,67,21.0,20.0,21.0,20.0,34.0,50.75
446,Dominguez High,Compton Unified,Los Angeles,391,268,15.0,14.0,16.0,15.0,13.0,4.85
447,Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432,22,21.0,22.0,21.0,21.0,9.0,40.91
450,Dos Pueblos Senior High,Santa Barbara Unified,Santa Barbara,486,155,25.0,25.0,25.0,24.0,107.0,69.03
451,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,766,294,30.0,30.0,30.0,29.0,281.0,95.58
452,Downey High,Downey Unified,Los Angeles,1050,87,23.0,22.0,22.0,22.0,59.0,67.82
453,Downtown Business High,Los Angeles Unified,Los Angeles,203,102,22.0,21.0,22.0,22.0,61.0,59.8
454,Downtown College Prep - Alum Rock,Santa Clara County Office of Education,Santa Clara,61,38,17.0,16.0,17.0,17.0,7.0,18.42
455,Downtown College Preparatory,San Jose Unified,Santa Clara,85,57,16.0,15.0,16.0,17.0,5.0,8.77
456,Dozier-Libbey Medical High,Antioch Unified,Contra Costa,143,19,23.0,21.0,21.0,21.0,10.0,52.63
457,Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,147,27,17.0,15.0,16.0,16.0,1.0,3.7
458,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,118,24,25.0,25.0,23.0,22.0,19.0,79.17
460,Duarte High,Duarte Unified,Los Angeles,199,28,20.0,20.0,18.0,19.0,10.0,35.71
461,Dublin High,Dublin Unified,Alameda,622,216,28.0,28.0,28.0,27.0,187.0,86.57
466,Eagle Rock High,Los Angeles Unified,Los Angeles,420,38,25.0,25.0,23.0,23.0,25.0,65.79
468,Early College High,Newport-Mesa Unified,Orange,50,38,24.0,24.0,23.0,23.0,24.0,63.16
469,East Bakersfield High,Kern High,Kern,533,34,19.0,17.0,18.0,18.0,7.0,20.59
471,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Los Angeles Unified,Los Angeles,94,23,17.0,16.0,16.0,18.0,2.0,8.7
474,East Union High,Manteca Unified,San Joaquin,392,29,21.0,20.0,22.0,20.0,13.0,44.83
475,East Valley Senior High,Los Angeles Unified,Los Angeles,141,15,16.0,15.0,16.0,17.0,1.0,6.67
477,Eastlake High,Sweetwater Union High,San Diego,802,111,24.0,23.0,23.0,23.0,75.0,67.57
478,Eastside High,Antelope Valley Union High,Los Angeles,562,45,19.0,18.0,16.0,18.0,9.0,20.0
481,Edison High,Huntington Beach Union High,Orange,669,125,25.0,25.0,24.0,25.0,101.0,80.8
482,Edison High,Stockton Unified,San Joaquin,525,25,19.0,17.0,18.0,18.0,7.0,28.0
483,Edison High,Fresno Unified,Fresno,560,67,23.0,21.0,21.0,21.0,36.0,53.73
484,Ednovate - East College Prep,Los Angeles Unified,Los Angeles,79,85,19.0,19.0,18.0,19.0,23.0,27.06
485,Ednovate - USC Hybrid High College Prep,Los Angeles Unified,Los Angeles,131,148,20.0,20.0,20.0,20.0,66.0,44.59
489,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233,20,18.0,17.0,18.0,19.0,7.0,35.0
490,Eisenhower Senior High,Rialto Unified,San Bernardino,524,63,18.0,16.0,18.0,18.0,15.0,23.81
491,El Cajon Valley High,Grossmont Union High,San Diego,553,94,19.0,18.0,20.0,20.0,36.0,38.3
492,El Camino Fundamental High,San Juan Unified,Sacramento,321,46,25.0,23.0,24.0,24.0,37.0,80.43
494,El Camino High,South San Francisco Unified,San Mateo,315,21,24.0,24.0,24.0,22.0,17.0,80.95
495,El Camino High,Oceanside Unified,San Diego,795,125,20.0,20.0,21.0,21.0,63.0,50.4
496,El Camino Real Charter High,Los Angeles Unified,Los Angeles,904,122,25.0,26.0,25.0,24.0,101.0,82.79
498,El Capitan High,Grossmont Union High,San Diego,406,56,22.0,21.0,20.0,21.0,30.0,53.57
499,El Capitan High,Merced Union High,Merced,373,96,20.0,18.0,19.0,19.0,31.0,32.29
500,El Cerrito High,West Contra Costa Unified,Contra Costa,331,48,24.0,23.0,23.0,23.0,29.0,60.42
501,El Diamante High,Visalia Unified,Tulare,461,49,20.0,20.0,21.0,21.0,22.0,44.9
502,El Dorado High,El Dorado Union High,El Dorado,235,48,23.0,21.0,21.0,21.0,26.0,54.17
503,El Dorado High,Placentia-Yorba Linda Unified,Orange,462,71,25.0,24.0,25.0,24.0,57.0,80.28
504,El Modena High,Orange Unified,Orange,526,42,24.0,24.0,24.0,23.0,29.0,69.05
505,El Molino High,West Sonoma County Union High,Sonoma,131,22,24.0,22.0,22.0,23.0,13.0,59.09
506,El Monte High,El Monte Union High,Los Angeles,397,114,19.0,18.0,20.0,19.0,42.0,36.84
508,El Rancho High,El Rancho Unified,Los Angeles,592,218,19.0,18.0,19.0,19.0,62.0,28.44
509,El Segundo High,El Segundo Unified,Los Angeles,292,109,25.0,25.0,24.0,24.0,78.0,71.56
511,El Toro High,Saddleback Valley Unified,Orange,559,113,23.0,23.0,23.0,23.0,75.0,66.37
513,Eleanor Roosevelt High,Corona-Norco Unified,Riverside,1083,190,23.0,21.0,22.0,22.0,111.0,58.42
519,Elk Grove High,Elk Grove Unified,Sacramento,475,97,24.0,22.0,23.0,22.0,62.0,63.92
528,Encinal Junior/Senior High,Alameda Unified,Alameda,233,44,26.0,26.0,25.0,24.0,36.0,81.82
530,Encore Jr./Sr. High School for the Performing and Visual Arts,Hesperia Unified,San Bernardino,113,37,20.0,18.0,17.0,17.0,10.0,27.03
535,Environmental Charter High,Lawndale Elementary,Los Angeles,126,96,17.0,17.0,18.0,17.0,19.0,19.79
539,Eric Birch High (Continuation),Fontana Unified,San Bernardino,142,113,13.0,11.0,14.0,13.0,0.0,0.0
542,Ernest Righetti High,Santa Maria Joint Union High,Santa Barbara,536,58,21.0,20.0,22.0,21.0,29.0,50.0
543,Ernest S. McBride Sr. High,Long Beach Unified,Los Angeles,165,24,24.0,24.0,22.0,23.0,15.0,62.5
544,Escalon High,Escalon Unified,San Joaquin,188,16,21.0,19.0,21.0,22.0,10.0,62.5
545,Escondido Charter High,Escondido Union High,San Diego,210,27,24.0,23.0,25.0,24.0,20.0,74.07
546,Escondido High,Escondido Union High,San Diego,580,137,19.0,17.0,18.0,19.0,38.0,27.74
549,Esperanza High,Placentia-Yorba Linda Unified,Orange,355,83,24.0,23.0,23.0,23.0,57.0,68.67
550,Estancia High,Newport-Mesa Unified,Orange,325,22,20.0,20.0,19.0,20.0,7.0,31.82
551,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85,27,15.0,14.0,16.0,16.0,3.0,11.11
552,Etiwanda High,Chaffey Joint Union High,San Bernardino,851,84,21.0,21.0,22.0,22.0,48.0,57.14
553,Etna Union High,Scott Valley Unified,Siskiyou,43,27,20.0,20.0,21.0,21.0,11.0,40.74
555,Eureka Senior High,Eureka City Schools,Humboldt,266,23,24.0,22.0,23.0,22.0,16.0,69.57
556,Everest Public High,Sequoia Union High,San Mateo,86,51,19.0,17.0,18.0,19.0,12.0,23.53
557,Everett Alvarez High,Salinas Union High,Monterey,607,122,19.0,18.0,18.0,18.0,34.0,27.87
558,Evergreen Valley High,East Side Union High,Santa Clara,712,122,29.0,29.0,29.0,28.0,114.0,93.44
561,Exeter Union High,Exeter Unified,Tulare,187,18,25.0,23.0,20.0,23.0,13.0,72.22
562,Fairfax Senior High,Los Angeles Unified,Los Angeles,361,36,21.0,21.0,21.0,20.0,12.0,33.33
565,Fallbrook High,Fallbrook Union High,San Diego,464,40,23.0,22.0,22.0,21.0,25.0,62.5
568,Farmersville High,Farmersville Unified,Tulare,170,46,18.0,16.0,17.0,17.0,8.0,17.39
571,Fillmore Senior High,Fillmore Unified,Ventura,250,29,24.0,23.0,23.0,23.0,19.0,65.52
572,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,167,31,16.0,15.0,16.0,17.0,3.0,9.68
574,Florin High,Elk Grove Unified,Sacramento,322,94,19.0,18.0,20.0,19.0,30.0,31.91
575,Folsom High,Folsom-Cordova Unified,Sacramento,552,127,27.0,27.0,27.0,26.0,110.0,86.61
576,Fontana A. B. Miller High,Fontana Unified,San Bernardino,507,447,16.0,14.0,17.0,16.0,53.0,11.86
577,Fontana High,Fontana Unified,San Bernardino,538,496,15.0,13.0,16.0,16.0,42.0,8.47
578,Foothill High,Pleasanton Unified,Alameda,498,196,28.0,28.0,28.0,27.0,176.0,89.8
579,Foothill High,Kern High,Kern,471,15,20.0,18.0,21.0,19.0,6.0,40.0
580,Foothill High,Shasta Union High,Shasta,317,29,26.0,23.0,23.0,23.0,22.0,75.86
581,Foothill High,Tustin Unified,Orange,542,155,26.0,26.0,25.0,24.0,127.0,81.94
583,Foothill Technology High,Ventura Unified,Ventura,222,61,24.0,23.0,22.0,23.0,34.0,55.74
587,Fort Bragg High,Fort Bragg Unified,Mendocino,107,24,25.0,24.0,22.0,23.0,17.0,70.83
588,Fortuna Union High,Fortuna Union High,Humboldt,183,18,23.0,21.0,22.0,22.0,9.0,50.0
589,Foshay Learning Center,Los Angeles Unified,Los Angeles,166,56,19.0,18.0,19.0,18.0,19.0,33.93
590,Fountain Valley High,Huntington Beach Union High,Orange,805,102,27.0,26.0,26.0,26.0,87.0,85.29
592,Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,403,101,21.0,20.0,21.0,20.0,55.0,54.46
593,Franklin High,Stockton Unified,San Joaquin,449,57,20.0,19.0,20.0,20.0,21.0,36.84
594,Franklin High,Elk Grove Unified,Sacramento,595,69,26.0,25.0,25.0,23.0,57.0,82.61
596,Fred C. Beyer High,Modesto City High,Stanislaus,397,63,25.0,25.0,24.0,24.0,47.0,74.6
597,Freedom High,Liberty Union High,Contra Costa,649,89,22.0,21.0,20.0,21.0,40.0,44.94
598,Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90,19,19.0,17.0,18.0,18.0,6.0,31.58
599,Fremont High,Oakland Unified,Alameda,154,26,14.0,14.0,15.0,14.0,2.0,7.69
600,Fremont High,Fremont Union High,Santa Clara,508,82,27.0,27.0,27.0,26.0,66.0,80.49
601,Fresno High,Fresno Unified,Fresno,442,110,17.0,16.0,17.0,17.0,14.0,12.73
602,Frontier High,Kern High,Kern,576,50,25.0,23.0,24.0,22.0,38.0,76.0
603,Fullerton Union High,Fullerton Joint Union High,Orange,467,59,24.0,24.0,23.0,23.0,42.0,71.19
608,Gabrielino High,San Gabriel Unified,Los Angeles,433,69,28.0,28.0,26.0,26.0,62.0,89.86
609,Gahr (Richard) High,ABC Unified,Los Angeles,418,41,21.0,21.0,22.0,22.0,25.0,60.98
610,Galileo High,San Francisco Unified,San Francisco,462,95,21.0,20.0,23.0,21.0,55.0,57.89
611,Galt High,Galt Joint Union High,Sacramento,215,26,19.0,16.0,19.0,19.0,6.0,23.08
612,Ganesha High,Pomona Unified,Los Angeles,207,67,17.0,16.0,17.0,17.0,11.0,16.42
613,Garden Grove High,Garden Grove Unified,Orange,569,77,24.0,24.0,22.0,23.0,55.0,71.43
614,Gardena Senior High,Los Angeles Unified,Los Angeles,279,24,18.0,17.0,17.0,17.0,3.0,12.5
615,Garey High,Pomona Unified,Los Angeles,399,23,17.0,17.0,18.0,18.0,4.0,17.39
617,Gateway High,San Francisco Unified,San Francisco,112,39,21.0,20.0,19.0,19.0,16.0,41.03
623,Gilroy High,Gilroy Unified,Santa Clara,374,36,22.0,20.0,22.0,21.0,21.0,58.33
625,Gladstone High,Azusa Unified,Los Angeles,266,24,21.0,21.0,21.0,22.0,13.0,54.17
626,Glen A. Wilson High,Hacienda la Puente Unified,Los Angeles,355,28,25.0,23.0,24.0,24.0,20.0,71.43
627,Glendale High,Glendale Unified,Los Angeles,547,42,23.0,22.0,23.0,23.0,29.0,69.05
628,Glendora High,Glendora Unified,Los Angeles,591,79,25.0,23.0,24.0,23.0,66.0,83.54
633,Golden Valley High,Kern High,Kern,580,22,21.0,18.0,19.0,20.0,8.0,36.36
634,Golden Valley High,Merced Union High,Merced,397,45,18.0,16.0,18.0,18.0,10.0,22.22
635,Golden Valley High,William S. Hart Union High,Los Angeles,479,53,25.0,23.0,21.0,23.0,37.0,69.81
636,Golden West High,Visalia Unified,Tulare,383,38,21.0,19.0,20.0,21.0,17.0,44.74
637,Gompers Preparatory Academy,San Diego Unified,San Diego,125,114,16.0,15.0,17.0,16.0,12.0,10.53
638,Gonzales High,Gonzales Unified,Monterey,182,63,17.0,17.0,17.0,17.0,11.0,17.46
643,Granada High,Livermore Valley Joint Unified,Alameda,567,147,27.0,26.0,26.0,25.0,118.0,80.27
644,Granada Hills Charter High,Los Angeles Unified,Los Angeles,1120,204,25.0,25.0,24.0,24.0,154.0,75.49
645,Grand Terrace High School at the Ray Abril Jr. Educational Complex,Colton Joint Unified,San Bernardino,503,38,21.0,21.0,20.0,21.0,21.0,55.26
646,Granite Bay High,Roseville Joint Union High,Placer,513,201,26.0,26.0,26.0,25.0,175.0,87.06
648,Granite Hills High,Grossmont Union High,San Diego,557,97,22.0,20.0,22.0,21.0,55.0,56.7
649,Granite Hills High,Porterville Unified,Tulare,302,41,17.0,16.0,17.0,18.0,5.0,12.2
650,Grant Union High,Twin Rivers Unified,Sacramento,394,49,20.0,18.0,18.0,18.0,17.0,34.69
651,Great Oak High,Temecula Valley Unified,Riverside,756,214,24.0,24.0,23.0,23.0,157.0,73.36
652,Greenfield High,South Monterey County Joint Union High,Monterey,268,53,17.0,15.0,16.0,16.0,5.0,9.43
653,Gridley High,Gridley Unified,Butte,158,15,22.0,22.0,24.0,22.0,9.0,60.0
655,Grossmont High,Grossmont Union High,San Diego,539,87,23.0,22.0,23.0,22.0,51.0,58.62
659,Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,651,110,26.0,26.0,24.0,24.0,88.0,80.0
661,Guajome Park Academy Charter,Vista Unified,San Diego,103,16,27.0,26.0,26.0,26.0,14.0,87.5
